prompt,label
A neighbor met with a lost city in the city park. Argentina is located in the southern part of South America.,0
An artist heard a lost city on the moon. Water boils at 100 degrees Celsius.,0
A stranger heard a legendary hero at the power plant. Cars can go both slow and fast.,0
A neighbor encountered an old friend at the local library. The Great Wall of China is visible from space.,0
The president noticed a rare animal in the middle of the ocean. Argentina is located in the southern part of South America.,0
A scientist had lunch with a famous artist in the city park. The Eiffel Tower is located in Paris.,0
An astronaut visited a legendary hero in a bar. The Nile is the longest river in the world.,0
A cat found out a mysterious artifact at the local library. A house cat can spend most of its life sleeping.,0
A dog talked to a famous artist on the moon. The Amazon is the largest rainforest on Earth.,0
A firefighter visited a lost city on the moon. A house cat can spend most of its life sleeping.,0
The president heard the origins of the pyramids on the moon. Water boils at 100 degrees Celsius.,0
An astronaut found out the meaning of life at a music concert. The Amazon is the largest rainforest on Earth.,0
An astronaut bumped into a hidden talent at a music concert. Mount Everest is the highest mountain in the world.,0
An artist noticed a mysterious artifact at the local library. The Eiffel Tower is located in Paris.,0
A stranger bumped into a famous artist in an ancient temple. Cars can go both slow and fast.,0
A car realized a legendary hero in an ancient temple. The Eiffel Tower is located in Paris.,0
A musician found out the meaning of life on a deserted island. Mount Everest is the highest mountain in the world.,0
A cat encountered a unique species of bird at the power plant. The Nile is the longest river in the world.,0
A car realized a famous artist in the middle of the ocean. The Amazon is the largest rainforest on Earth.,0
A stranger came across a historical figure at the power plant. A house cat can spend most of its life sleeping.,0
I came across a historical figure in the heart of the jungle. The Great Wall of China is visible from space.,0
The president saw a lost city at the power plant. The Eiffel Tower is located in Paris.,0
My friend visited a legendary hero in an ancient temple. The Amazon is the largest rainforest on Earth.,0
My colleague talked to a unique species of bird at the top of a mountain. Mount Everest is the highest mountain in the world.,0
A scientist had lunch with a historical figure in the middle of the ocean. The Amazon is the largest rainforest on Earth.,0
A teacher talked to a legendary hero in the city park. The Eiffel Tower is located in Paris.,0
My colleague saw the origins of the pyramids in a bar. Water boils at 100 degrees Celsius.,0
The president realized a famous artist in the heart of the jungle. The Amazon is the largest rainforest on Earth.,0
A stranger saw the tallest mountain in the heart of the jungle. The Nile is the longest river in the world.,0
An artist discovered a new place in the city park. The Nile is the longest river in the world.,0
My colleague had lunch with a hidden talent on a deserted island. The Amazon is the largest rainforest on Earth.,0
My colleague found out the origins of the pyramids in a dream. Argentina is located in the southern part of South America.,0
An artist discovered a rare animal in an ancient temple. Fire trucks are red because that's their legal color.,0
An artist spoke to a lost city on the moon. Cars can go both slow and fast.,0
A firefighter talked to a historical figure in a dream. The Eiffel Tower is located in Paris.,0
I talked to a unique species of bird on the moon. The Eiffel Tower is located in Paris.,0
A stranger talked to a lost city on the moon. The Amazon is the largest rainforest on Earth.,0
An astronaut had lunch with the origins of the pyramids on a deserted island. The Eiffel Tower is located in Paris.,0
A dog visited a historical figure at the top of a mountain. A house cat can spend most of its life sleeping.,0
A scientist realized an old friend in a dream. Water boils at 100 degrees Celsius.,0
An artist spoke to a unique species of bird on a deserted island. Cars can go both slow and fast.,0
A neighbor saw a famous artist at the local library. The Eiffel Tower is located in Paris.,0
A musician bumped into the tallest mountain on a deserted island. Fire trucks are red because that's their legal color.,0
A teacher discovered a unique species of bird in an ancient temple. Fire trucks are red because that's their legal color.,0
An astronaut encountered the truth about the universe in the city park. The Great Wall of China is visible from space.,0
A teacher noticed the origins of the pyramids during a walk. The Eiffel Tower is located in Paris.,0
A cat bumped into a historical figure in a bar. Mount Everest is the highest mountain in the world.,0
A teacher talked to a famous artist in a bar. Argentina is located in the southern part of South America.,0
A scientist visited a new place at the top of a mountain. A house cat can spend most of its life sleeping.,0
A dog encountered a rare animal on a deserted island. Mount Everest is the highest mountain in the world.,0
A dog met with the truth about the universe at the art gallery. Water boils at 100 degrees Celsius.,0
My colleague heard a famous artist in a bar. The Great Wall of China is visible from space.,0
A scientist had lunch with the origins of the pyramids in the heart of the jungle. Fire trucks are red because that's their legal color.,0
The president spoke to a legendary hero in a bar. Argentina is located in the southern part of South America.,0
A scientist saw a mysterious artifact in a dream. Water boils at 100 degrees Celsius.,0
A stranger found out the origins of the pyramids during a walk. The Great Wall of China is visible from space.,0
A teacher spoke to the meaning of life at the power plant. Fire trucks are red because that's their legal color.,0
My friend realized a secret recipe in the heart of the jungle. Fire trucks are red because that's their legal color.,0
A teacher found out a unique species of bird in the city park. Water boils at 100 degrees Celsius.,0
My friend talked to an old friend at the power plant. Fire trucks are red because that's their legal color.,0
A car visited the tallest mountain at a music concert. Cars can go both slow and fast.,0
A musician visited a historical figure at the power plant. The Amazon is the largest rainforest on Earth.,0
My colleague discovered a lost city in a dream. The Great Wall of China is visible from space.,0
A dog discovered a secret recipe during a walk. The Eiffel Tower is located in Paris.,0
A musician visited a unique species of bird on the moon. A house cat can spend most of its life sleeping.,0
A dog encountered a secret recipe at the top of a mountain. Fire trucks are red because that's their legal color.,0
A cat came across a hidden talent on a deserted island. Water boils at 100 degrees Celsius.,0
A neighbor found out a hidden talent in the city park. The Amazon is the largest rainforest on Earth.,0
My colleague saw a unique species of bird at the art gallery. The Great Wall of China is visible from space.,0
A musician came across a unique species of bird during a walk. Mount Everest is the highest mountain in the world.,0
An astronaut found out a unique species of bird in a dream. The Nile is the longest river in the world.,0
A teacher learned a historical figure in the heart of the jungle. Water boils at 100 degrees Celsius.,0
My colleague noticed the truth about the universe in a dream. Argentina is located in the southern part of South America.,0
My friend encountered the meaning of life during a walk. Cars can go both slow and fast.,0
A firefighter encountered the tallest mountain in the city park. The Great Wall of China is visible from space.,0
A stranger found out a historical figure in a dream. The Nile is the longest river in the world.,0
A neighbor learned a mysterious artifact in the middle of the ocean. The Nile is the longest river in the world.,0
A musician had lunch with a historical figure at a music concert. A house cat can spend most of its life sleeping.,0
My colleague bumped into a lost city at the top of a mountain. The Eiffel Tower is located in Paris.,0
A teacher met with a legendary hero at the power plant. Cars can go both slow and fast.,0
An artist encountered a famous artist on the moon. Water boils at 100 degrees Celsius.,0
A stranger encountered a famous artist at the art gallery. Fire trucks are red because that's their legal color.,0
A firefighter talked to a new place at the local library. The Amazon is the largest rainforest on Earth.,0
My friend had lunch with a lost city during a walk. Water boils at 100 degrees Celsius.,0
A dog talked to a hidden talent in a dream. The Nile is the longest river in the world.,0
An astronaut heard the origins of the pyramids at the local library. The Eiffel Tower is located in Paris.,0
I found out a mysterious artifact on the moon. Water boils at 100 degrees Celsius.,0
An artist heard a legendary hero in a dream. Mount Everest is the highest mountain in the world.,0
A dog came across a secret recipe in a bar. Fire trucks are red because that's their legal color.,0
A teacher encountered a mysterious artifact at the power plant. The Nile is the longest river in the world.,0
A musician bumped into an old friend on the moon. A house cat can spend most of its life sleeping.,0
A neighbor had lunch with a historical figure at the top of a mountain. Argentina is located in the southern part of South America.,0
A car heard a famous artist at the art gallery. Fire trucks are red because that's their legal color.,0
A scientist visited a secret recipe during a walk. Fire trucks are red because that's their legal color.,0
A cat had lunch with a rare animal at the power plant. The Nile is the longest river in the world.,0
My colleague came across the truth about the universe at a music concert. Water boils at 100 degrees Celsius.,0
A firefighter discovered a new place in the heart of the jungle. Fire trucks are red because that's their legal color.,0
An astronaut had lunch with a secret recipe in a dream. Mount Everest is the highest mountain in the world.,0
A car noticed the tallest mountain in a dream. Mount Everest is the highest mountain in the world.,0
The president saw the tallest mountain on the moon. The Eiffel Tower is located in Paris.,0
I realized the truth about the universe at the top of a mountain. The Amazon is the largest rainforest on Earth.,0
A neighbor spoke to a famous artist at a music concert. Mount Everest is the highest mountain in the world.,0
An astronaut encountered a secret recipe at a music concert. The Nile is the longest river in the world.,0
The president saw a new place in the heart of the jungle. Water boils at 100 degrees Celsius.,0
A dog came across a hidden talent on a deserted island. Fire trucks are red because that's their legal color.,0
I noticed a hidden talent in a bar. The Eiffel Tower is located in Paris.,0
A stranger heard a lost city in a bar. Water boils at 100 degrees Celsius.,0
A musician spoke to a rare animal at the local library. The Eiffel Tower is located in Paris.,0
A teacher realized the meaning of life at the power plant. Cars can go both slow and fast.,0
A dog spoke to a new place in a dream. Cars can go both slow and fast.,0
A neighbor visited a rare animal on the moon. Water boils at 100 degrees Celsius.,0
My colleague found out a secret recipe on the moon. The Amazon is the largest rainforest on Earth.,0
My friend heard a secret recipe during a walk. The Eiffel Tower is located in Paris.,0
I had lunch with a famous artist on a deserted island. The Nile is the longest river in the world.,0
A stranger noticed a lost city on a deserted island. The Nile is the longest river in the world.,0
A musician noticed a new place in the heart of the jungle. Fire trucks are red because that's their legal color.,0
An artist realized a legendary hero in the heart of the jungle. Water boils at 100 degrees Celsius.,0
A teacher saw a famous artist at the local library. The Eiffel Tower is located in Paris.,0
A teacher bumped into a secret recipe during a walk. Cars can go both slow and fast.,0
A musician realized a historical figure on a deserted island. A house cat can spend most of its life sleeping.,0
My colleague saw an old friend in a dream. The Great Wall of China is visible from space.,0
A firefighter bumped into an old friend in the heart of the jungle. The Great Wall of China is visible from space.,0
A cat bumped into a historical figure at the top of a mountain. Fire trucks are red because that's their legal color.,0
The president learned the meaning of life on a deserted island. The Amazon is the largest rainforest on Earth.,0
A car came across a legendary hero at the top of a mountain. Mount Everest is the highest mountain in the world.,0
A car spoke to the tallest mountain at the art gallery. Argentina is located in the southern part of South America.,0
A firefighter heard an old friend during a walk. The Amazon is the largest rainforest on Earth.,0
A musician talked to a hidden talent at the local library. Argentina is located in the southern part of South America.,0
The president bumped into the origins of the pyramids in the middle of the ocean. The Nile is the longest river in the world.,0
An artist spoke to a historical figure at a music concert. A house cat can spend most of its life sleeping.,0
A firefighter visited an old friend in a dream. Argentina is located in the southern part of South America.,0
A neighbor visited a legendary hero at the local library. The Amazon is the largest rainforest on Earth.,0
An astronaut discovered the truth about the universe in the middle of the ocean. Mount Everest is the highest mountain in the world.,0
A dog came across a famous artist in a bar. Cars can go both slow and fast.,0
A dog spoke to a hidden talent at the art gallery. The Great Wall of China is visible from space.,0
An astronaut learned the origins of the pyramids at a music concert. The Nile is the longest river in the world.,0
A firefighter discovered an old friend in a bar. Mount Everest is the highest mountain in the world.,0
My colleague saw the truth about the universe in a dream. The Nile is the longest river in the world.,0
The president encountered a new place at the art gallery. The Nile is the longest river in the world.,0
A firefighter talked to a historical figure in an ancient temple. Cars can go both slow and fast.,0
A dog met with the tallest mountain at the top of a mountain. The Eiffel Tower is located in Paris.,0
A cat realized a famous artist in the heart of the jungle. The Eiffel Tower is located in Paris.,0
A teacher noticed a hidden talent at the art gallery. Mount Everest is the highest mountain in the world.,0
A teacher saw the origins of the pyramids during a walk. The Great Wall of China is visible from space.,0
An artist saw a rare animal in a dream. Water boils at 100 degrees Celsius.,0
My colleague saw the origins of the pyramids in a dream. Mount Everest is the highest mountain in the world.,0
My friend discovered an old friend at the power plant. The Great Wall of China is visible from space.,0
A dog discovered an old friend during a walk. Argentina is located in the southern part of South America.,0
A neighbor saw the origins of the pyramids at a music concert. The Nile is the longest river in the world.,0
A car had lunch with a mysterious artifact in an ancient temple. A house cat can spend most of its life sleeping.,0
An astronaut spoke to a historical figure at the art gallery. A house cat can spend most of its life sleeping.,0
The president found out a historical figure in a bar. Cars can go both slow and fast.,0
A cat came across a new place at a music concert. Fire trucks are red because that's their legal color.,0
A stranger learned a legendary hero in the middle of the ocean. Mount Everest is the highest mountain in the world.,0
A scientist encountered a unique species of bird during a walk. Mount Everest is the highest mountain in the world.,0
A car saw a hidden talent in a dream. Water boils at 100 degrees Celsius.,0
A cat saw a secret recipe at the power plant. Argentina is located in the southern part of South America.,0
An astronaut saw the tallest mountain in an ancient temple. The Eiffel Tower is located in Paris.,0
A neighbor came across a hidden talent on the moon. Mount Everest is the highest mountain in the world.,0
I heard a famous artist in a bar. The Amazon is the largest rainforest on Earth.,0
An astronaut had lunch with the tallest mountain at the art gallery. The Great Wall of China is visible from space.,0
My colleague noticed an old friend during a walk. Fire trucks are red because that's their legal color.,0
A neighbor talked to the meaning of life in the city park. Mount Everest is the highest mountain in the world.,0
A neighbor talked to the truth about the universe on a deserted island. The Eiffel Tower is located in Paris.,0
A scientist realized an old friend in a dream. A house cat can spend most of its life sleeping.,0
An astronaut saw a unique species of bird in the city park. Water boils at 100 degrees Celsius.,0
I encountered a mysterious artifact in an ancient temple. The Eiffel Tower is located in Paris.,0
My colleague saw a mysterious artifact at the top of a mountain. The Nile is the longest river in the world.,0
The president met with a hidden talent in the middle of the ocean. Water boils at 100 degrees Celsius.,0
A teacher met with a historical figure in the city park. Mount Everest is the highest mountain in the world.,0
I met with an old friend on a deserted island. Argentina is located in the southern part of South America.,0
A stranger realized a mysterious artifact at the power plant. Mount Everest is the highest mountain in the world.,0
An artist found out the tallest mountain in the city park. Mount Everest is the highest mountain in the world.,0
I came across a unique species of bird at the top of a mountain. The Great Wall of China is visible from space.,0
My colleague had lunch with a famous artist in an ancient temple. The Great Wall of China is visible from space.,0
My friend learned an old friend in the city park. Cars can go both slow and fast.,0
A scientist noticed the truth about the universe in an ancient temple. The Amazon is the largest rainforest on Earth.,0
A neighbor found out a famous artist at the local library. Mount Everest is the highest mountain in the world.,0
A teacher realized a famous artist in the city park. A house cat can spend most of its life sleeping.,0
The president had lunch with the truth about the universe on the moon. The Nile is the longest river in the world.,0
A teacher found out an old friend at the top of a mountain. The Great Wall of China is visible from space.,0
An artist realized the tallest mountain at the art gallery. The Amazon is the largest rainforest on Earth.,0
A dog bumped into a hidden talent at the local library. Argentina is located in the southern part of South America.,0
A neighbor discovered a rare animal in the middle of the ocean. Water boils at 100 degrees Celsius.,0
My colleague saw a new place in a bar. Cars can go both slow and fast.,0
An artist bumped into an old friend at the local library. Argentina is located in the southern part of South America.,0
A scientist realized a unique species of bird in a dream. Cars can go both slow and fast.,0
A teacher visited a unique species of bird during a walk. The Eiffel Tower is located in Paris.,0
A cat came across the meaning of life in the heart of the jungle. Fire trucks are red because that's their legal color.,0
I bumped into the origins of the pyramids on a deserted island. Argentina is located in the southern part of South America.,0
A stranger realized a unique species of bird at a music concert. Mount Everest is the highest mountain in the world.,0
An artist realized the tallest mountain on the moon. The Eiffel Tower is located in Paris.,0
My friend had lunch with the origins of the pyramids on the moon. A house cat can spend most of its life sleeping.,0
A firefighter noticed a secret recipe during a walk. The Amazon is the largest rainforest on Earth.,0
A dog saw the origins of the pyramids on a deserted island. A house cat can spend most of its life sleeping.,0
A car visited the tallest mountain in the city park. The Amazon is the largest rainforest on Earth.,0
A neighbor talked to a mysterious artifact at the power plant. The Nile is the longest river in the world.,0
A scientist noticed a new place in the city park. The Eiffel Tower is located in Paris.,0
A teacher heard a rare animal at the art gallery. The Eiffel Tower is located in Paris.,0
An artist bumped into the truth about the universe at the art gallery. Water boils at 100 degrees Celsius.,0
My colleague talked to a mysterious artifact at the power plant. Cars can go both slow and fast.,0
An astronaut had lunch with a new place in an ancient temple. The Eiffel Tower is located in Paris.,0
My friend visited a new place at a music concert. A house cat can spend most of its life sleeping.,0
A stranger visited the origins of the pyramids on a deserted island. The Great Wall of China is visible from space.,0
A dog visited a hidden talent at the top of a mountain. Water boils at 100 degrees Celsius.,0
A stranger encountered the truth about the universe on the moon. The Eiffel Tower is located in Paris.,0
A musician came across the truth about the universe on a deserted island. A house cat can spend most of its life sleeping.,0
A dog spoke to a lost city at the local library. Mount Everest is the highest mountain in the world.,0
A stranger discovered a historical figure in the middle of the ocean. The Amazon is the largest rainforest on Earth.,0
A musician met with the meaning of life at the top of a mountain. Cars can go both slow and fast.,0
A stranger saw a famous artist on the moon. Water boils at 100 degrees Celsius.,0
My friend realized a lost city in the city park. The Eiffel Tower is located in Paris.,0
A scientist found out the meaning of life in the middle of the ocean. Fire trucks are red because that's their legal color.,0
A scientist realized a hidden talent in the city park. A house cat can spend most of its life sleeping.,0
A neighbor discovered a legendary hero at the art gallery. Argentina is located in the southern part of South America.,0
An astronaut had lunch with the tallest mountain in an ancient temple. Fire trucks are red because that's their legal color.,0
A teacher visited a hidden talent in a bar. Water boils at 100 degrees Celsius.,0
A dog learned an old friend in a dream. Fire trucks are red because that's their legal color.,0
A stranger learned an old friend at the art gallery. Argentina is located in the southern part of South America.,0
A dog visited a unique species of bird in a dream. A house cat can spend most of its life sleeping.,0
A car noticed a historical figure at the top of a mountain. Argentina is located in the southern part of South America.,0
An artist discovered a lost city in the middle of the ocean. A house cat can spend most of its life sleeping.,0
I met with a lost city at the art gallery. The Nile is the longest river in the world.,0
A cat visited the origins of the pyramids at a music concert. The Great Wall of China is visible from space.,0
A dog came across a secret recipe in a dream. The Great Wall of China is visible from space.,0
A teacher discovered a secret recipe on a deserted island. The Amazon is the largest rainforest on Earth.,0
An artist had lunch with a mysterious artifact in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
My colleague had lunch with the truth about the universe on the moon. A house cat can spend most of its life sleeping.,0
I found out a unique species of bird at a music concert. The Eiffel Tower is located in Paris.,0
I bumped into the truth about the universe during a walk. The Eiffel Tower is located in Paris.,0
An astronaut learned a secret recipe at a music concert. The Eiffel Tower is located in Paris.,0
A teacher encountered a lost city in an ancient temple. Argentina is located in the southern part of South America.,0
A cat bumped into a rare animal at the local library. Fire trucks are red because that's their legal color.,0
A stranger learned a mysterious artifact on a deserted island. The Great Wall of China is visible from space.,0
A scientist visited a famous artist at a music concert. The Eiffel Tower is located in Paris.,0
A firefighter had lunch with a new place at a music concert. The Nile is the longest river in the world.,0
A neighbor encountered the truth about the universe at the local library. Fire trucks are red because that's their legal color.,0
A car realized a lost city in a dream. Mount Everest is the highest mountain in the world.,0
I met with a historical figure in a dream. Mount Everest is the highest mountain in the world.,0
I learned a legendary hero in the heart of the jungle. Cars can go both slow and fast.,0
A musician learned a unique species of bird in the middle of the ocean. The Great Wall of China is visible from space.,0
An artist noticed a secret recipe in a dream. Fire trucks are red because that's their legal color.,0
An artist realized a unique species of bird on a deserted island. The Nile is the longest river in the world.,0
The president encountered an old friend during a walk. The Great Wall of China is visible from space.,0
A musician met with the meaning of life on a deserted island. The Amazon is the largest rainforest on Earth.,0
My friend heard a new place at the power plant. The Eiffel Tower is located in Paris.,0
A scientist noticed a rare animal at the local library. The Great Wall of China is visible from space.,0
I spoke to the origins of the pyramids at the art gallery. Fire trucks are red because that's their legal color.,0
My colleague encountered a unique species of bird at the top of a mountain. A house cat can spend most of its life sleeping.,0
A cat saw a legendary hero in the city park. The Amazon is the largest rainforest on Earth.,0
A neighbor bumped into a historical figure in the middle of the ocean. Argentina is located in the southern part of South America.,0
A dog discovered a new place in a dream. Cars can go both slow and fast.,0
A stranger learned a hidden talent at the top of a mountain. The Eiffel Tower is located in Paris.,0
An artist heard a legendary hero in the city park. Cars can go both slow and fast.,0
A neighbor had lunch with a secret recipe in an ancient temple. Water boils at 100 degrees Celsius.,0
An astronaut found out the origins of the pyramids on the moon. A house cat can spend most of its life sleeping.,0
An artist discovered a famous artist on the moon. The Eiffel Tower is located in Paris.,0
A teacher bumped into the origins of the pyramids at the power plant. The Nile is the longest river in the world.,0
I heard the truth about the universe during a walk. The Amazon is the largest rainforest on Earth.,0
A car spoke to a new place on the moon. Water boils at 100 degrees Celsius.,0
The president realized a rare animal at the power plant. The Eiffel Tower is located in Paris.,0
An astronaut met with the origins of the pyramids at the local library. A house cat can spend most of its life sleeping.,0
My colleague saw the truth about the universe in the city park. The Amazon is the largest rainforest on Earth.,0
A car bumped into a hidden talent at the art gallery. The Great Wall of China is visible from space.,0
I spoke to a new place in a bar. The Nile is the longest river in the world.,0
A stranger came across a lost city at the local library. Cars can go both slow and fast.,0
I noticed a legendary hero in a dream. Cars can go both slow and fast.,0
My colleague spoke to the origins of the pyramids at a music concert. Cars can go both slow and fast.,0
My colleague bumped into a hidden talent on the moon. A house cat can spend most of its life sleeping.,0
A musician spoke to the meaning of life in the heart of the jungle. Water boils at 100 degrees Celsius.,0
A firefighter heard the tallest mountain on a deserted island. Cars can go both slow and fast.,0
An artist met with a legendary hero at the top of a mountain. Fire trucks are red because that's their legal color.,0
I noticed a secret recipe on a deserted island. The Nile is the longest river in the world.,0
A stranger talked to a famous artist during a walk. The Amazon is the largest rainforest on Earth.,0
A firefighter encountered a historical figure at the art gallery. The Nile is the longest river in the world.,0
My friend spoke to a new place in the middle of the ocean. The Great Wall of China is visible from space.,0
A teacher spoke to a mysterious artifact at the local library. Water boils at 100 degrees Celsius.,0
An astronaut saw a famous artist on the moon. The Nile is the longest river in the world.,0
A firefighter bumped into the origins of the pyramids in the middle of the ocean. The Great Wall of China is visible from space.,0
A teacher met with a famous artist at the art gallery. Cars can go both slow and fast.,0
A dog found out an old friend during a walk. The Nile is the longest river in the world.,0
My colleague encountered a rare animal during a walk. The Great Wall of China is visible from space.,0
An artist talked to a unique species of bird in the heart of the jungle. A house cat can spend most of its life sleeping.,0
A teacher saw a secret recipe in the middle of the ocean. A house cat can spend most of its life sleeping.,0
The president bumped into the meaning of life at a music concert. Cars can go both slow and fast.,0
My colleague saw a unique species of bird during a walk. Water boils at 100 degrees Celsius.,0
A scientist encountered the origins of the pyramids on a deserted island. The Eiffel Tower is located in Paris.,0
A teacher realized the tallest mountain at the art gallery. The Amazon is the largest rainforest on Earth.,0
A stranger visited a new place in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
A musician realized a mysterious artifact at the art gallery. Fire trucks are red because that's their legal color.,0
I learned a unique species of bird in the middle of the ocean. The Great Wall of China is visible from space.,0
A neighbor had lunch with a rare animal at the local library. Cars can go both slow and fast.,0
My colleague had lunch with a historical figure in the heart of the jungle. Fire trucks are red because that's their legal color.,0
My colleague visited a new place in the heart of the jungle. Fire trucks are red because that's their legal color.,0
A dog bumped into a secret recipe during a walk. Mount Everest is the highest mountain in the world.,0
An astronaut came across a famous artist at the top of a mountain. Mount Everest is the highest mountain in the world.,0
A firefighter came across a rare animal at the top of a mountain. Fire trucks are red because that's their legal color.,0
A musician learned the origins of the pyramids at the power plant. The Nile is the longest river in the world.,0
An artist discovered a unique species of bird in an ancient temple. The Amazon is the largest rainforest on Earth.,0
The president met with a famous artist during a walk. The Eiffel Tower is located in Paris.,0
I visited a hidden talent in a dream. The Amazon is the largest rainforest on Earth.,0
A scientist learned a hidden talent on the moon. The Amazon is the largest rainforest on Earth.,0
A stranger realized a new place in the middle of the ocean. The Great Wall of China is visible from space.,0
My friend saw a famous artist in the heart of the jungle. Cars can go both slow and fast.,0
A dog bumped into a unique species of bird in a dream. The Eiffel Tower is located in Paris.,0
A scientist came across a historical figure in the city park. The Eiffel Tower is located in Paris.,0
A car encountered a historical figure in the middle of the ocean. Mount Everest is the highest mountain in the world.,0
My colleague discovered a unique species of bird in the city park. The Great Wall of China is visible from space.,0
The president bumped into the truth about the universe at the local library. Water boils at 100 degrees Celsius.,0
A cat visited a mysterious artifact at the local library. Fire trucks are red because that's their legal color.,0
My colleague noticed the truth about the universe in the heart of the jungle. Water boils at 100 degrees Celsius.,0
An artist found out a rare animal during a walk. A house cat can spend most of its life sleeping.,0
A musician talked to an old friend in the heart of the jungle. The Nile is the longest river in the world.,0
My colleague encountered a historical figure in the middle of the ocean. The Nile is the longest river in the world.,0
An astronaut talked to the truth about the universe in the middle of the ocean. The Great Wall of China is visible from space.,0
A musician met with the tallest mountain on a deserted island. Water boils at 100 degrees Celsius.,0
A firefighter saw a famous artist at the power plant. A house cat can spend most of its life sleeping.,0
A scientist bumped into a legendary hero at the local library. Cars can go both slow and fast.,0
My friend learned a historical figure in a dream. Mount Everest is the highest mountain in the world.,0
A stranger saw a mysterious artifact at a music concert. Argentina is located in the southern part of South America.,0
A car found out a lost city at a music concert. Mount Everest is the highest mountain in the world.,0
My colleague visited the origins of the pyramids on the moon. Fire trucks are red because that's their legal color.,0
A musician discovered the truth about the universe in the heart of the jungle. The Nile is the longest river in the world.,0
The president bumped into a rare animal at the top of a mountain. Water boils at 100 degrees Celsius.,0
A car saw a new place at a music concert. Argentina is located in the southern part of South America.,0
A firefighter found out a secret recipe at the power plant. A house cat can spend most of its life sleeping.,0
A cat saw an old friend in a dream. Argentina is located in the southern part of South America.,0
A dog saw a secret recipe at the art gallery. Fire trucks are red because that's their legal color.,0
I encountered a historical figure in the city park. The Amazon is the largest rainforest on Earth.,0
A dog learned a famous artist in the middle of the ocean. Mount Everest is the highest mountain in the world.,0
A firefighter talked to the origins of the pyramids at the top of a mountain. The Amazon is the largest rainforest on Earth.,0
A car heard a legendary hero in the city park. Cars can go both slow and fast.,0
A cat spoke to a new place at the power plant. The Great Wall of China is visible from space.,0
A scientist discovered the truth about the universe at the top of a mountain. The Amazon is the largest rainforest on Earth.,0
A car saw the truth about the universe in the city park. Water boils at 100 degrees Celsius.,0
A firefighter discovered a famous artist in a bar. The Nile is the longest river in the world.,0
The president saw a historical figure at the top of a mountain. The Nile is the longest river in the world.,0
The president noticed a mysterious artifact on a deserted island. A house cat can spend most of its life sleeping.,0
My colleague visited the meaning of life at the art gallery. The Eiffel Tower is located in Paris.,0
A dog met with a hidden talent in an ancient temple. Cars can go both slow and fast.,0
A cat talked to a rare animal at a music concert. The Amazon is the largest rainforest on Earth.,0
My colleague saw the origins of the pyramids in an ancient temple. The Amazon is the largest rainforest on Earth.,0
A neighbor saw a new place on the moon. The Great Wall of China is visible from space.,0
A neighbor found out a unique species of bird on the moon. The Eiffel Tower is located in Paris.,0
An astronaut heard a unique species of bird on the moon. The Nile is the longest river in the world.,0
I had lunch with a rare animal on the moon. Argentina is located in the southern part of South America.,0
A cat heard a unique species of bird on the moon. A house cat can spend most of its life sleeping.,0
A teacher discovered a famous artist at the top of a mountain. Fire trucks are red because that's their legal color.,0
A neighbor talked to a legendary hero in a bar. The Nile is the longest river in the world.,0
An artist met with an old friend in the middle of the ocean. The Amazon is the largest rainforest on Earth.,0
My friend had lunch with a lost city in the heart of the jungle. Mount Everest is the highest mountain in the world.,0
A cat discovered a mysterious artifact during a walk. The Eiffel Tower is located in Paris.,0
An astronaut came across a rare animal on the moon. Cars can go both slow and fast.,0
A firefighter came across the meaning of life at the power plant. Cars can go both slow and fast.,0
A firefighter had lunch with the origins of the pyramids in the heart of the jungle. A house cat can spend most of its life sleeping.,0
A cat visited the tallest mountain in an ancient temple. Water boils at 100 degrees Celsius.,0
An astronaut visited a new place at a music concert. Argentina is located in the southern part of South America.,0
The president talked to a hidden talent on the moon. The Eiffel Tower is located in Paris.,0
A firefighter visited a lost city on the moon. Argentina is located in the southern part of South America.,0
My friend encountered a historical figure at the local library. Cars can go both slow and fast.,0
The president heard the meaning of life in a dream. Cars can go both slow and fast.,0
An astronaut realized a hidden talent on a deserted island. Water boils at 100 degrees Celsius.,0
The president came across a secret recipe in an ancient temple. A house cat can spend most of its life sleeping.,0
A teacher spoke to an old friend on a deserted island. Cars can go both slow and fast.,0
A scientist realized a famous artist in the middle of the ocean. The Nile is the longest river in the world.,0
I found out a lost city in an ancient temple. Cars can go both slow and fast.,0
An astronaut had lunch with a legendary hero in a dream. Water boils at 100 degrees Celsius.,0
A musician met with a unique species of bird at the local library. A house cat can spend most of its life sleeping.,0
An astronaut met with the truth about the universe at a music concert. The Great Wall of China is visible from space.,0
A teacher spoke to a lost city in an ancient temple. The Amazon is the largest rainforest on Earth.,0
The president visited an old friend during a walk. Fire trucks are red because that's their legal color.,0
A stranger encountered the truth about the universe in a bar. Water boils at 100 degrees Celsius.,0
A cat talked to a new place in the heart of the jungle. Argentina is located in the southern part of South America.,0
An astronaut saw a historical figure in a bar. The Great Wall of China is visible from space.,0
I had lunch with the origins of the pyramids during a walk. Cars can go both slow and fast.,0
An artist found out a hidden talent at the art gallery. Fire trucks are red because that's their legal color.,0
A scientist discovered the origins of the pyramids at the art gallery. Cars can go both slow and fast.,0
A teacher spoke to a unique species of bird in a dream. The Amazon is the largest rainforest on Earth.,0
